"number" "dsum" "count" "missing" "quant_error" "fname"
30 4051.05 5308 4260 0.00119291 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Branta.bernicla_BowenIsland_100m.tif"
31 4176.34 5308 4260 0.000327150 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Branta.canadensis_BowenIsland_100m.tif"
32 3729.25 5308 4260 0.00273799 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Branta.hutchinsii_BowenIsland_100m.tif"
33 4405.81 5308 4260 0.00190676 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Bubo.virginianus_BowenIsland_100m.tif"
34 4593.61 5308 4260 0.00269849 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Bucephala.albeola_BowenIsland_100m.tif"
35 4304.47 5308 4260 0.000293979 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Bucephala.clangula_BowenIsland_100m.tif"
36 4688.65 5308 4260 0.00477869 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Bucephala.islandica_BowenIsland_100m.tif"
37 4222.68 5308 4260 0.00147322 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Buteo.jamaicensis_BowenIsland_100m.tif"
38 3282.13 5308 4260 0.00179391 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Calidris.alpina_BowenIsland_100m.tif"
39 3605.08 5308 4260 0.00446164 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Calidris.mauri_BowenIsland_100m.tif"
