"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00018 0.5087 0.5087
0.00037 0.5093 0.5093
0.00055 0.5157 0.5157
0.00074 0.5000 0.5000
0.00092 0.5186 0.5186
0.00111 0.5041 0.5041
0.00129 0.5238 0.5238
0.00148 0.5332 0.5332
0.00166 0.5083 0.5083
0.00185 0.5080 0.5080
0.00203 0.5093 0.5093
0.00222 0.5228 0.5228
0.00240 0.5319 0.5319
0.00259 0.5132 0.5132
0.00277 0.5138 0.5138
0.00296 0.5103 0.5103
0.00314 0.5109 0.5109
0.00333 0.5348 0.5348
0.00351 0.5154 0.5154
0.00370 0.5170 0.5170
0.00388 0.5390 0.5390
0.00407 0.5261 0.5261
0.00425 0.5206 0.5206
0.00444 0.5215 0.5215
0.00462 0.5245 0.5245
0.00481 0.5238 0.5238
0.00499 0.5248 0.5248
0.00518 0.5254 0.5254
0.00536 0.5277 0.5277
0.00555 0.5299 0.5299
0.00573 0.5444 0.5444
0.00592 0.5290 0.5290
0.00610 0.5338 0.5338
0.00629 0.5351 0.5351
0.00647 0.5328 0.5328
0.00666 0.5493 0.5493
0.00684 0.5370 0.5370
0.00703 0.5396 0.5396
0.00721 0.5396 0.5396
0.00740 0.5489 0.5489
0.00758 0.5431 0.5431
0.00777 0.5425 0.5425
0.00795 0.5419 0.5419
0.00814 0.5467 0.5467
0.00832 0.5635 0.5635
0.00851 0.5673 0.5673
0.00869 0.5041 0.5041
0.00888 0.5058 0.5058
0.00906 0.5496 0.5496
0.00925 0.5058 0.5058
0.00943 0.5512 0.5512
0.00962 0.5064 0.5064
0.00980 0.5080 0.5080
0.00999 0.5580 0.5580
0.01017 0.5705 0.5705
0.01036 0.5612 0.5612
0.01054 0.5541 0.5541
0.01072 0.5606 0.5606
0.01091 0.5293 0.5293
0.01109 0.5625 0.5625
0.01128 0.5154 0.5154
0.01146 0.5148 0.5148
0.01165 0.5618 0.5618
0.01183 0.5325 0.5325
0.01202 0.5876 0.5876
0.01220 0.5857 0.5857
0.01239 0.5235 0.5235
0.01257 0.5838 0.5838
0.01276 0.5348 0.5348
0.01294 0.5206 0.5206
0.01313 0.5232 0.5232
0.01331 0.5921 0.5921
0.01350 0.5415 0.5415
0.01368 0.5251 0.5251
0.01387 0.5245 0.5245
0.01405 0.5377 0.5377
0.01424 0.5751 0.5751
0.01442 0.5725 0.5725
0.01461 0.5396 0.5396
0.01479 0.5415 0.5415
0.01498 0.5296 0.5296
0.01516 0.5299 0.5299
0.01535 0.5380 0.5380
0.01553 0.5419 0.5419
0.01572 0.5834 0.5834
0.01590 0.5815 0.5815
0.01609 0.5332 0.5332
0.01627 0.6018 0.6018
0.01646 0.6028 0.6028
0.01664 0.5454 0.5454
0.01683 0.5947 0.5947
0.01701 0.5528 0.5528
0.01720 0.5883 0.5883
0.01738 0.5947 0.5947
0.01757 0.5938 0.5938
0.01775 0.5547 0.5547
0.01794 0.5448 0.5448
0.01812 0.5390 0.5390
0.01831 0.5963 0.5963
0.01849 0.5921 0.5921
0.01868 0.5992 0.5992
0.01886 0.5947 0.5947
0.01905 0.6002 0.6002
0.01923 0.6147 0.6147
0.01942 0.5760 0.5760
0.01960 0.6176 0.6176
0.01979 0.5515 0.5515
0.01997 0.6202 0.6202
0.02016 0.6195 0.6195
0.02034 0.6063 0.6063
0.02053 0.5734 0.5734
0.02071 0.5744 0.5744
0.02089 0.6070 0.6070
0.02108 0.5796 0.5796
0.02126 0.5828 0.5828
0.02145 0.6102 0.6102
0.02163 0.5815 0.5815
0.02182 0.6141 0.6141
0.02200 0.6047 0.6047
0.02219 0.5728 0.5728
0.02237 0.6318 0.6318
0.02256 0.6079 0.6079
0.02274 0.5767 0.5767
0.02293 0.6350 0.6350
0.02311 0.6195 0.6195
0.02330 0.6386 0.6386
0.02348 0.6228 0.6228
0.02367 0.6369 0.6369
0.02385 0.6379 0.6379
0.02404 0.6247 0.6247
0.02422 0.6411 0.6411
0.02441 0.5989 0.5989
0.02459 0.5822 0.5822
0.02478 0.6270 0.6270
0.02496 0.6221 0.6221
0.02515 0.6315 0.6315
0.02533 0.6311 0.6311
0.02552 0.6308 0.6308
0.02570 0.6253 0.6253
0.02589 0.6534 0.6534
0.02607 0.6502 0.6502
0.02626 0.6576 0.6576
0.02644 0.6402 0.6402
0.02663 0.6592 0.6592
0.02681 0.6166 0.6166
0.02700 0.6453 0.6453
0.02718 0.6563 0.6563
0.02737 0.6347 0.6347
0.02755 0.6563 0.6563
0.02774 0.6489 0.6489
0.02792 0.6624 0.6624
0.02811 0.6096 0.6096
0.02829 0.6514 0.6514
0.02848 0.6363 0.6363
0.02866 0.6486 0.6486
0.02885 0.6373 0.6373
0.02903 0.6440 0.6440
0.02922 0.6537 0.6537
0.02940 0.6695 0.6695
0.02959 0.6550 0.6550
0.02977 0.6476 0.6476
0.02996 0.6701 0.6701
0.03014 0.6463 0.6463
0.03033 0.6740 0.6740
0.03051 0.6289 0.6289
0.03070 0.6057 0.6057
0.03088 0.6057 0.6057
0.03107 0.6779 0.6779
0.03125 0.6511 0.6511
0.03143 0.6589 0.6589
0.03162 0.6112 0.6112
0.03180 0.6727 0.6727
0.03199 0.6792 0.6792
0.03217 0.6366 0.6366
0.03236 0.6714 0.6714
0.03254 0.6866 0.6866
0.03273 0.6592 0.6592
0.03291 0.6208 0.6208
0.03310 0.6847 0.6847
0.03328 0.6811 0.6811
0.03347 0.6237 0.6237
0.03365 0.6711 0.6711
0.03384 0.6492 0.6492
0.03402 0.6743 0.6743
0.03421 0.6756 0.6756
0.03439 0.6773 0.6773
0.03458 0.6953 0.6953
0.03476 0.6689 0.6689
0.03495 0.6792 0.6792
0.03513 0.6627 0.6627
0.03532 0.6834 0.6834
0.03550 0.6892 0.6892
0.03569 0.6369 0.6369
0.03587 0.6905 0.6905
0.03606 0.6859 0.6859
0.03624 0.6888 0.6888
0.03643 0.6901 0.6901
0.03661 0.7024 0.7024
0.03680 0.6917 0.6917
0.03698 0.7085 0.7085
0.03717 0.6921 0.6921
0.03735 0.6934 0.6934
0.03754 0.6956 0.6956
0.03772 0.6527 0.6527
0.03791 0.7082 0.7082
0.03809 0.6540 0.6540
0.03828 0.7014 0.7014
0.03846 0.6992 0.6992
0.03865 0.6998 0.6998
0.03883 0.7014 0.7014
0.03902 0.7037 0.7037
0.03920 0.7027 0.7027
0.03939 0.7072 0.7072
0.03957 0.7040 0.7040
0.03976 0.7153 0.7153
0.03994 0.7111 0.7111
0.04013 0.7162 0.7162
0.04031 0.6934 0.6934
0.04050 0.7056 0.7056
0.04068 0.7059 0.7059
0.04087 0.6660 0.6660
0.04105 0.7088 0.7088
0.04124 0.7079 0.7079
0.04142 0.7082 0.7082
0.04161 0.7111 0.7111
0.04179 0.7091 0.7091
0.04197 0.7082 0.7082
0.04216 0.7117 0.7117
0.04234 0.7082 0.7082
0.04253 0.7082 0.7082
0.04271 0.7101 0.7101
0.04290 0.7114 0.7114
0.04308 0.7088 0.7088
0.04327 0.7091 0.7091
0.04345 0.7111 0.7111
0.04364 0.7108 0.7108
0.04382 0.7130 0.7130
0.04401 0.7062 0.7062
0.04419 0.7114 0.7114
0.04438 0.7098 0.7098
0.04456 0.7095 0.7095
0.04475 0.7098 0.7098
0.04493 0.7137 0.7137
0.04512 0.7150 0.7150
0.04530 0.7108 0.7108
0.04549 0.7108 0.7108
0.04567 0.7127 0.7127
0.04586 0.7169 0.7169
0.04604 0.7130 0.7130
0.04623 0.7111 0.7111
0.04641 0.7169 0.7169
0.04660 0.7179 0.7179
0.04678 0.7156 0.7156
0.04697 0.7237 0.7237
0.04715 0.7130 0.7130
0.04734 0.7137 0.7137
0.04752 0.7146 0.7146
0.04771 0.7140 0.7140
0.04789 0.7188 0.7188
0.04808 0.7159 0.7159
0.04826 0.7117 0.7117
0.04845 0.7153 0.7153
0.04863 0.7166 0.7166
0.04882 0.7175 0.7175
0.04900 0.7140 0.7140
0.04919 0.7172 0.7172
0.04937 0.7159 0.7159
0.04956 0.7162 0.7162
0.04974 0.7175 0.7175
0.04993 0.7140 0.7140
0.05011 0.7120 0.7120
0.05030 0.7114 0.7114
0.05048 0.7121 0.7121
0.05067 0.7114 0.7114
0.05085 0.7120 0.7120
0.05104 0.7285 0.7285
0.05122 0.7230 0.7230
0.05141 0.7117 0.7117
0.05159 0.7117 0.7117
0.05178 0.7117 0.7117
0.05196 0.7117 0.7117
0.05214 0.7120 0.7120
0.05233 0.7127 0.7127
0.05251 0.7237 0.7237
0.05270 0.7179 0.7179
0.05288 0.7182 0.7182
0.05307 0.7237 0.7237
0.05325 0.7130 0.7130
0.05344 0.7137 0.7137
0.05362 0.7182 0.7182
0.05381 0.7208 0.7208
0.05399 0.7098 0.7098
0.05418 0.7175 0.7175
0.05436 0.7185 0.7185
0.05455 0.7285 0.7285
0.05473 0.7124 0.7124
0.05492 0.7143 0.7143
0.05510 0.7124 0.7124
0.05529 0.7159 0.7159
0.05547 0.7211 0.7211
0.05566 0.7130 0.7130
0.05584 0.7272 0.7272
0.05603 0.7140 0.7140
0.05621 0.7198 0.7198
0.05640 0.7249 0.7249
0.05658 0.7133 0.7133
0.05677 0.7130 0.7130
0.05695 0.7137 0.7137
0.05714 0.7198 0.7198
0.05732 0.7208 0.7208
0.05751 0.7156 0.7156
0.05769 0.7140 0.7140
0.05788 0.7095 0.7095
0.05806 0.7137 0.7137
0.05825 0.7140 0.7140
0.05843 0.7143 0.7143
0.05862 0.7137 0.7137
0.05880 0.7175 0.7175
0.05899 0.7143 0.7143
0.05917 0.7175 0.7175
0.05936 0.7188 0.7188
0.05954 0.7324 0.7324
0.05973 0.7175 0.7175
0.05991 0.7156 0.7156
0.06010 0.7163 0.7163
0.06028 0.7285 0.7285
0.06047 0.7146 0.7146
0.06065 0.7146 0.7146
0.06084 0.7146 0.7146
0.06102 0.7150 0.7150
0.06121 0.7362 0.7362
0.06139 0.7108 0.7108
0.06158 0.7366 0.7366
0.06176 0.7353 0.7353
0.06195 0.7356 0.7356
0.06213 0.7166 0.7166
0.06232 0.7163 0.7163
0.06250 0.7156 0.7156
0.06268 0.6940 0.6940
0.06287 0.6924 0.6924
0.06305 0.7201 0.7201
0.06324 0.7198 0.7198
0.06342 0.7198 0.7198
0.06361 0.7208 0.7208
0.06379 0.7317 0.7317
0.06398 0.7330 0.7330
0.06416 0.7240 0.7240
0.06435 0.7149 0.7149
0.06453 0.7208 0.7208
0.06472 0.6776 0.6776
0.06490 0.7262 0.7262
0.06509 0.7208 0.7208
0.06527 0.7204 0.7204
0.06546 0.7217 0.7217
0.06564 0.7217 0.7217
0.06583 0.7436 0.7436
0.06601 0.7262 0.7262
0.06620 0.7288 0.7288
0.06638 0.7282 0.7282
0.06657 0.7459 0.7459
0.06675 0.7230 0.7230
0.06694 0.7217 0.7217
