"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00018 0.5228 0.5428
0.00037 0.5083 0.5409
0.00055 0.5051 0.5312
0.00074 0.5380 0.5602
0.00092 0.5080 0.5338
0.00111 0.5154 0.5361
0.00129 0.5058 0.5312
0.00148 0.5245 0.5409
0.00166 0.5444 0.5612
0.00185 0.5038 0.5293
0.00203 0.5225 0.5451
0.00222 0.5296 0.5464
0.00240 0.5209 0.5441
0.00259 0.5296 0.5522
0.00277 0.5248 0.5419
0.00296 0.4990 0.5338
0.00314 0.5083 0.5451
0.00333 0.5099 0.5464
0.00351 0.5296 0.5660
0.00370 0.5325 0.5486
0.00388 0.5070 0.5338
0.00407 0.5177 0.5554
0.00425 0.5164 0.5544
0.00444 0.5087 0.5467
0.00462 0.5232 0.5589
0.00481 0.5151 0.5499
0.00499 0.5225 0.5599
0.00518 0.5335 0.5705
0.00536 0.5112 0.5467
0.00555 0.5206 0.5567
0.00573 0.5386 0.5567
0.00592 0.5070 0.5428
0.00610 0.5348 0.5728
0.00629 0.5145 0.5431
0.00647 0.5377 0.5751
0.00666 0.5241 0.5612
0.00684 0.5332 0.5696
0.00703 0.5228 0.5612
0.00721 0.5041 0.5406
0.00740 0.5512 0.5705
0.00758 0.5209 0.5570
0.00777 0.5606 0.5979
0.00795 0.5760 0.5992
0.00814 0.5132 0.5499
0.00832 0.5448 0.5831
0.00851 0.5486 0.5857
0.00869 0.5831 0.6005
0.00888 0.5486 0.5889
0.00906 0.5386 0.5876
0.00925 0.5093 0.5464
0.00943 0.5435 0.5834
0.00962 0.5290 0.5657
0.00980 0.5245 0.5615
0.00999 0.5132 0.5509
0.01017 0.5509 0.5867
0.01036 0.5167 0.5544
0.01054 0.5486 0.5854
0.01072 0.5248 0.5638
0.01091 0.5274 0.5647
0.01109 0.5419 0.5786
0.01128 0.5734 0.5912
0.01146 0.5341 0.5718
0.01165 0.5941 0.6315
0.01183 0.5254 0.5625
0.01202 0.6005 0.6315
0.01220 0.5725 0.6121
0.01239 0.5370 0.5751
0.01257 0.5396 0.5763
0.01276 0.5428 0.5809
0.01294 0.5967 0.6270
0.01313 0.5931 0.6292
0.01331 0.5941 0.6315
0.01350 0.5386 0.5773
0.01368 0.5628 0.6041
0.01387 0.5428 0.5796
0.01405 0.5699 0.6121
0.01424 0.5464 0.5841
0.01442 0.5912 0.5673
0.01461 0.5909 0.5589
0.01479 0.5625 0.6005
0.01498 0.5831 0.6247
0.01516 0.5760 0.6073
0.01535 0.5283 0.5657
0.01553 0.5570 0.5960
0.01572 0.5857 0.6257
0.01590 0.5970 0.6373
0.01609 0.5544 0.5925
0.01627 0.6012 0.6431
0.01646 0.5828 0.6211
0.01664 0.5599 0.5979
0.01683 0.5618 0.6018
0.01701 0.6108 0.5947
0.01720 0.7056 0.7314
0.01738 0.5986 0.6315
0.01757 0.5983 0.5764
0.01775 0.6189 0.6569
0.01794 0.5934 0.6337
0.01812 0.6134 0.6556
0.01831 0.5525 0.5925
0.01849 0.5406 0.5821
0.01868 0.5947 0.6337
0.01886 0.6311 0.6624
0.01905 0.5728 0.6144
0.01923 0.6218 0.6602
0.01942 0.6018 0.6444
0.01960 0.5341 0.5738
0.01979 0.5747 0.6144
0.01997 0.6244 0.6660
0.02016 0.6070 0.6421
0.02034 0.7066 0.7327
0.02053 0.7030 0.7385
0.02071 0.5319 0.5728
0.02089 0.5370 0.5773
0.02108 0.7288 0.7604
0.02126 0.6137 0.6037
0.02145 0.6137 0.6547
0.02163 0.5415 0.5809
0.02182 0.6134 0.6041
0.02200 0.5802 0.6199
0.02219 0.5544 0.5957
0.02237 0.5812 0.6215
0.02256 0.5880 0.6289
0.02274 0.7456 0.7733
0.02293 0.5390 0.5809
0.02311 0.6073 0.6463
0.02330 0.5409 0.5831
0.02348 0.6311 0.6224
0.02367 0.5464 0.5879
0.02385 0.6218 0.6602
0.02404 0.6402 0.6785
0.02422 0.5921 0.6328
0.02441 0.6037 0.6440
0.02459 0.6411 0.6821
0.02478 0.6708 0.7075
0.02496 0.5731 0.6144
0.02515 0.5815 0.6221
0.02533 0.6086 0.5602
0.02552 0.6379 0.6788
0.02570 0.6092 0.6508
0.02589 0.6592 0.6318
0.02607 0.7359 0.7704
0.02626 0.6176 0.6614
0.02644 0.7565 0.7846
0.02663 0.6673 0.6363
0.02681 0.6444 0.6843
0.02700 0.7436 0.7752
0.02718 0.6244 0.6650
0.02737 0.6779 0.6395
0.02755 0.6250 0.6647
0.02774 0.6476 0.6869
0.02792 0.6192 0.6637
0.02811 0.6772 0.7085
0.02829 0.7230 0.7591
0.02848 0.7556 0.7859
0.02866 0.6785 0.6934
0.02885 0.6066 0.5593
0.02903 0.6311 0.6682
0.02922 0.6498 0.6914
0.02940 0.6611 0.7027
0.02959 0.6663 0.6395
0.02977 0.6756 0.6453
0.02996 0.6066 0.6476
0.03014 0.7472 0.7810
0.03033 0.7353 0.7697
0.03051 0.6057 0.5589
0.03070 0.6353 0.6763
0.03088 0.6750 0.6708
0.03107 0.6808 0.6498
0.03125 0.6166 0.6592
0.03143 0.6318 0.6763
0.03162 0.6557 0.6982
0.03180 0.6402 0.6843
0.03199 0.6092 0.5615
0.03217 0.5734 0.6141
0.03236 0.6376 0.6821
0.03254 0.6105 0.5625
0.03273 0.7652 0.7949
0.03291 0.6434 0.6856
0.03310 0.7011 0.7385
0.03328 0.5825 0.6247
0.03347 0.6105 0.5635
0.03365 0.6743 0.7249
0.03384 0.6831 0.7166
0.03402 0.6511 0.6866
0.03421 0.5976 0.6395
0.03439 0.6492 0.6847
0.03458 0.6676 0.6498
0.03476 0.7088 0.6879
0.03495 0.7527 0.7868
0.03513 0.6589 0.6982
0.03532 0.7266 0.7636
0.03550 0.6418 0.6879
0.03569 0.6882 0.7214
0.03587 0.6125 0.5934
0.03606 0.7378 0.7752
0.03624 0.6363 0.6766
0.03643 0.7220 0.7601
0.03661 0.7585 0.7443
0.03680 0.7514 0.7859
